一	一ＹＩ一
拣	扌<东上><拣角>Ｊ
拯	扌乛一Ｚ
偎	亻田<畏下>Ｗ
呛	口人Ｑ
绅	纟日丨Ｓ
屿	山与ＹＵ
煮	者灬ＺＵ
璐	王各Ｌ
冈	冂乂ＧＧ
甄	覀土瓦Ｚ
匈	勹乂凵Ｘ
钓	钅勹丶Ｄ
咔	口<卓上>下Ｋ
笙	丿Ｓ
桀	夕<舛右>木Ｊ
蜥	虫木斤Ｘ
囔	口十<衣下>Ｎ
缴	纟白攵Ｊ
喳	口木一Ｚ
泳	氵丶<永下>Ｙ
睬	目爫木Ｃ
祟	凵山示Ｓ
崎	山大可Ｑ
谣	讠爫缶Ｙ
晖	日冖车Ｈ
炭	山火Ｔ
忑	下心ＴＥ
栖	木西ＱＩ
娴	女门木Ｘ
忐	<卓上>一心Ｔ
榕	木宀<谷下>Ｒ
堤	土日<足下>Ｄ
哽	口一乂Ｇ
烬	火尺<冬下>Ｊ
炒	火少ＣＯ
棱	木土夂Ｌ
肝	月干ＧＮ
靴	革亻<化右>Ｘ
痞	疒不口Ｐ
阀	门亻戈Ｆ
缪	纟羽彡Ｍ
赦	土<赤下>攵Ｓ
殖	歹十<具上>Ｚ
纲	纟冂乂Ｇ
璧	尸辛王Ｂ
厘	厂里ＬＩ
泓	氵弓厶Ｈ
涕	氵丷弓Ｔ
壤	土亠<衣下>Ｒ
懿	士<首上>心Ｙ
闺	门圭ＧＩ
浇	氵<尧上>儿Ｊ
匀	勹冫ＹＮ
棚	木月月Ｐ
娲	女口内Ｗ
蔚	艹尸寸Ｗ
稽	禾丶日Ｊ
虾	虫下ＸＡ
劭	刀口力Ｓ
茨	艹冫欠Ｃ
戾	户大丶Ｌ
橙	木癶<首上>Ｃ
厕	厂贝刂Ｃ
捐	扌口冃Ｊ
瘟	疒日皿Ｗ
舵	舟宀匕Ｄ
芯	艹心ＸＮ
晒	日西ＳＩ
烙	火各ＬＯ
驸	马亻寸Ｆ
亵	亠<衣下>执Ｘ
颂	八厶页Ｓ
钝	钅七凵Ｄ
窘	穴丿口Ｊ
懦	忄<雨头><而下>Ｎ
稷	禾田夂Ｊ
赎	贝十头Ｓ
袅	<鸟上>亠<衣下>Ｎ
庶	广廿灬Ｓ
腮	月田心Ｓ
绢	纟口冃Ｊ
葱	艹勹心Ｃ
溶	氵宀<谷下>Ｒ
榻	木日羽Ｔ
吨	口七凵Ｄ
貂	豸刀口Ｄ
哉	十戈口Ｚ
娥	女手戈Ｅ
悚	忄木口Ｓ
虔	虍文ＱＮ
蹙	戊<卓上>足Ｃ
婶	女宀丨Ｓ
屎	尸米ＳＩ
磋	石工Ｃ
殆	歹厶口Ｄ
诩	讠羽ＸＵ
蠕	虫<雨头><而下>Ｒ
偌	亻艹口Ｒ
拚	扌厶廾Ｐ
骼	骨各ＧＥ
觅	爫见ＭＩ
旱	日干ＨＮ
裔	亠<衣下>冂Ｙ
昱	日立ＹＵ
冕	<冒上><见下>Ｍ
屯	七凵ＴＮ
惋	忄宀Ｗ
萎	艹禾女Ｗ
苑	艹夕Ｙ
枭	<鸟上>木ＸＯ
惺	忄日Ｘ
砂	石少ＳＡ
殴	匚乂殳Ｏ
叭	口八ＢＡ
梢	木冃Ｓ
缨	纟贝女Ｙ
蹿	穴丨Ｃ
飓	风<具上>八Ｊ
峭	山冃Ｑ
甸	勹田ＤＮ
谐	讠比白Ｘ
澳	氵<向框>大Ａ
聆	耳今丶Ｌ
腊	月日Ｌ
缜	纟十八Ｚ
帜	巾口八Ｚ
昼	尺日一Ｚ
滕	月氺Ｔ
茧	艹虫ＪＮ
绫	纟土夂Ｌ
汰	氵大丶Ｔ
皙	木斤白Ｘ
踱	广又Ｄ
嵩	山<高外>口Ｓ
兑	丷口儿Ｄ
诊	讠人彡Ｚ
葡	艹勹甫Ｐ
筝	亅Ｚ
邃	穴<首上>辶Ｓ
辑	<车旁>口耳Ｊ
獠	犭大小Ｌ
昕	日斤ＸＮ
蜡	虫日Ｌ
奄	大日乚Ｙ
诵	讠<甬下>Ｓ
腑	月广寸Ｆ
悻	忄土十Ｘ
憎	忄丷日Ｚ
嗨	口母Ｈ
敷	甫方攵Ｆ
庇	广比ＢＩ
榴	木刀田Ｌ
晦	日母Ｈ
祢	礻小Ｍ
荀	艹勹日Ｘ
慷	忄广水Ｋ
寓	宀甲冂Ｙ
茉	艹末ＭＯ
咄	口凵山Ｄ
曙	日罒者Ｓ
噪	口吅木Ｚ
吒	口丿七Ｚ
缸	缶工ＧＧ
幡	巾丿田Ｆ
啤	口卑ＰＩ
烨	火<化右>十Ｙ
忡	忄中ＣＧ
粥	弓米弓Ｚ
悴	忄亠十Ｃ
咏	口丶<永下>Ｙ
颔	今口页Ｈ
洽	氵亼口Ｑ
募	莫力ＭＵ
驿	马又<举下>Ｙ
藩	<艹氵>丿田Ｆ
靶	革巴ＢＡ
谬	讠羽彡Ｍ
憔	忄隹灬Ｑ
邹	彐阝Ｚ
痹	疒田丌Ｂ
绊	纟半ＢＮ
酋	酋ＱＵ丶
框	木匚王Ｋ
茄	艹加ＱＥ
挚	执手ＺＩ
萄	艹勹缶Ｔ
恬	忄舌ＴＮ
聿	<秉中><举下>ＹＵ
檀	木亠一Ｔ
凿	业<首上>凵Ｚ
璋	王音十Ｚ
钞	钅少ＣＯ
褐	衤日勹Ｈ
蟹	刀虫Ｘ
鬟	镸彡<衣下>Ｈ
铛	钅彐Ｃ
曦	日戈Ｘ
崽	山田心Ｚ
胯	月大<亏下>Ｋ
璀	王山隹Ｃ
菇	艹女古Ｇ
眺	目<兆左><兆右>Ｔ
瘩	疒艹口Ｄ
璨	王又米Ｃ
抡	扌人匕Ｌ
斟	其乚斗Ｚ
褪	衤艮辶Ｔ
涎	氵丿廴Ｘ
勺	勹丶ＳＯ
溟	氵冖八Ｍ
疙	疒乙Ｇ
坪	土干丷Ｐ
猥	犭田<畏下>Ｗ
塘	土广口Ｔ
揖	扌口耳Ｙ
逾	亼<前下>辶Ｙ
冽	冫歹刂Ｌ
遏	日勹辶Ｅ
芽	艹一<牙下>Ｙ
裘	<求架>丶<衣下>Ｑ
徊	彳囗口Ｈ
函	乛氺凵Ｈ
槽	木<曹上>日Ｃ
蟾	虫言Ｃ
睫	目一<足下>Ｊ
珂	王可ＫＥ
嘭	口吉彡Ｐ
蒲	<艹氵>甫ＰＵ
煎	<首上><前下>灬Ｊ
庚	广<秉中>人Ｇ
荫	艹阝月Ｙ
稿	禾<高外>口Ｇ
徘	彳非ＰＩ
蛙	虫圭ＷＡ
睽	目癶大Ｋ
廓	广<享上>阝Ｋ
滨	氵穴丘Ｂ
彰	音十彡Ｚ
锵	钅夕寸Ｑ
掺	扌厶彡Ｃ
缰	纟一一Ｊ
芭	艹巴ＢＡ
嗒	口艹口Ｄ
嘈	口<曹上>日Ｃ
暄	日宀一Ｘ
琅	王丶艮Ｌ
萤	艹冖虫Ｙ
旬	勹日ＸＮ
翱	白十羽Ａ
栅	木册ＺＡ
缈	纟目少Ｍ
猝	犭亠十Ｃ
魇	厂大<见下>Ｙ
攒	扌贝Ｚ
蜴	虫日勹Ｙ
鞑	革大辶Ｄ
窿	穴阝Ｌ
扈	户口巴Ｈ
蜷	虫Ｑ
秽	禾山夕Ｈ
崛	山尸山Ｊ
谕	讠亼<前下>Ｙ
袱	衤大丶Ｆ
瑚	王古月Ｈ
磅	石<旁上>方Ｂ
缔	纟<旁上>巾Ｄ
攸	亻丨攵Ｙ
缥	纟覀示Ｐ
惬	忄匚夫Ｑ
撅	扌厂欠Ｊ
钮	钅丑ＮＵ
阙	门丷<屮变>Ｑ
鸽	亼口鸟Ｇ
葵	艹癶大Ｋ
曳	日乚丿Ｙ
蔼	艹讠勹Ａ
礁	石隹灬Ｊ
苛	艹可ＫＥ
佗	亻宀匕Ｔ
庐	广户ＬＵ
珀	王白ＰＯ
稠	禾<周框>土Ｃ
娉	女由丂Ｐ
嗣	口冊Ｓ
饵	饣耳ＥＲ
耕	耒井ＧＧ
肴	乂冃Ｙ
渎	氵十头Ｄ
嵋	山<声下>目Ｍ
伶	亻今丶Ｌ
瑭	王广口Ｔ
懵	忄艹目Ｍ
饷	饣<向框>口Ｘ
韬	二<韦下>臼Ｔ
恃	忄土寸Ｓ
浦	氵甫ＰＵ
邢	开阝ＸＧ
咻	口亻木Ｘ
隧	阝<首上>辶Ｓ
贷	代贝ＤＩ
滢	氵艹王Ｙ
掳	扌虍力Ｌ
颁	八刀页Ｂ
芜	艹<干变>乚Ｗ
檐	木言Ｙ
祯	礻<卓上>贝Ｚ
吝	文口ＬＮ
蘑	艹广石Ｍ
咫	尺口八Ｚ
茬	艹<在角>土Ｃ
怦	忄干丷Ｐ
缀	纟又又Ｚ
扼	扌厂Ｅ
唠	口艹力Ｌ
趾	止ＺＩ
殃	歹央ＹＧ
噼	口尸辛Ｐ
掂	扌广占Ｄ
啐	口亠十Ｃ
羌	乚ＱＧ
畴	田<丰变>寸Ｃ
枷	木加ＪＡ
捺	扌大示Ｎ
禾	禾ＨＥ丿
绒	纟戈Ｒ
邮	由阝ＹＵ
辙	<车旁><充上>攵Ｚ
籁	木贝Ｌ
煽	火户羽Ｓ
戎	戈ＲＧ
糙	米辶Ｃ
漱	氵木欠Ｓ
竿	干ＧＮ
瘪	疒自匕Ｂ
矫	矢丿<齐下>Ｊ
汀	氵丁ＴＧ
吆	口幺ＹＯ
怅	忄长ＣＧ
攘	扌亠<衣下>Ｒ
叼	口一Ｄ
昵	日尸匕Ｎ
烽	火夂丰Ｆ
猖	犭日日Ｃ
芥	艹人<齐下>Ｊ
紊	文幺小Ｗ
甬	<甬下>ＹＧ
跷	<尧上>儿Ｑ
靓	月见Ｌ
栩	木羽ＸＵ
簌	木欠Ｓ
寐	宀爿未Ｍ
壕	土<亮上>豕Ｈ
侈	亻夕夕Ｃ
嫡	女<商外>古Ｄ
黏	禾氺占Ｎ
亩	亠田ＭＵ
酣	酉廿一Ｈ
舆	<臼裂>车八Ｙ
痊	疒人王Ｑ
娆	女<尧上>儿Ｒ
侏	亻朱ＺＵ
佯	亻羊ＹＧ
锣	钅罒夕Ｌ
佼	亻亠父Ｊ
羲	丂戈Ｘ
棣	木彐水Ｄ
鳄	鱼吅<亏下>Ｅ
惘	忄冂<首上>Ｗ
霏	<雨头>非ＦＩ
媲	女<囱框>比Ｐ
蔷	艹十囗Ｑ
篝	<冓上>冂Ｇ
蛤	虫亼口Ｇ
虬	虫乚ＱＵ
荧	艹冖火Ｙ
舷	舟玄ＸＮ
螂	虫丶阝Ｌ
溺	氵弓弓Ｎ
羿	羽廾ＹＩ
巳	巳ＳＩ乛
仕	亻士ＳＩ
攥	扌小Ｚ
桦	木<化右>十Ｈ
氧	气羊ＹＧ
殇	歹<乃上>Ｓ
捻	扌今心Ｎ
胄	由冃ＺＵ
臧	戊乚丆Ｚ
萦	艹冖小Ｙ
漉	氵<鹿上>比Ｌ
骋	马由丂Ｃ
券	刀ＱＮ
贬	贝丿之Ｂ
瑛	王艹央Ｙ
迂	于辶ＹＵ
晟	日戊Ｓ
雏	彐隹Ｃ
勘	其乚力Ｋ
煤	火廿木Ｍ
坞	土乌ＷＵ
衮	亠八<衣下>Ｇ
蓓	艹亻口Ｂ
蹂	木Ｒ
蜒	虫丿廴Ｙ
忒	弋心ＴＥ
晏	日宀女Ｙ
牡	牜土ＭＵ
札	木乚ＺＡ
缎	纟<段左>殳Ｄ
膏	<亮上>口月Ｇ
屹	山乙Ｙ
肮	月亠几Ａ
哒	口大辶Ｄ
煦	日勹灬Ｘ
棕	木宀示Ｚ
糜	广林米Ｍ
瞠	目土Ｃ
筱	亻攵Ｘ
躏	艹门Ｌ
臻	至禾Ｚ
淤	氵人<冬下>Ｙ
瀛	氵<赢框>女Ｙ
蹊	爫大Ｑ
孰	<享上>子九Ｓ
沪	氵户ＨＵ
浙	氵扌斤Ｚ
毗	田比ＰＩ
呱	口瓜ＧＡ
磐	舟殳石Ｐ
矜	<矛下>今Ｇ
幺	幺ＹＯ乛
俨	亻亚丿Ｙ
琥	王虍几Ｈ
胴	月冂一Ｄ
暑	日者ＳＵ
雌	止匕隹Ｃ
锯	钅尸古Ｊ
硝	石冃Ｘ
酱	丬夕酉Ｊ
喋	口世木Ｄ
箍	扌匚Ｇ
婧	女月Ｊ
玺	小王Ｘ
羁	罒革马Ｊ
骁	马<尧上>儿Ｘ
拈	扌占ＮＮ
迢	刀口辶Ｔ
衲	衤内ＮＡ
呗	口贝ＢＩ
钵	钅木一Ｂ
鬓	镸彡八Ｂ
剖	立口刂Ｐ
蜿	虫宀Ｗ
鞍	革宀女Ａ
伫	亻宀一Ｚ
恤	忄丿皿Ｘ
铿	钅又土Ｋ
鸳	夕鸟Ｙ
蝗	虫白王Ｈ
茸	艹耳ＲＧ
赃	贝广土Ｚ
谴	讠<贵上>辶Ｑ
邑	口巴ＹＩ
俐	亻禾刂Ｌ
吮	口厶儿Ｓ
刊	干刂ＫＮ
钳	钅廿一Ｑ
亥	亥ＨＩ丶
噎	口士<首上>Ｙ
巩	工几丶Ｇ
驹	马勹口Ｊ
薰	艹千黑Ｘ
踌	<丰变>寸Ｃ
饕	口虍食Ｔ
矗	十<具上><具上>Ｃ
躇	艹者Ｃ
蹑	耳又Ｎ
弑	乂朩弋Ｓ
崭	山<车旁>斤Ｚ
褚	衤者ＣＵ
湮	氵覀土Ｙ
踞	尸古Ｊ
恺	忄山己Ｋ
鸠	九鸟ＪＵ
邯	廿一阝Ｈ
渍	氵贝Ｚ
汴	氵亠卜Ｂ
蜈	虫口大Ｗ
惦	忄广占Ｄ
谑	讠虍<虐下>Ｘ
砌	石七刀Ｑ
辎	<车旁>巛田Ｚ
贿	贝冃Ｈ
癫	疒十页Ｄ
诫	讠戈廾Ｊ
赘	敖贝ＺＩ
伎	亻十又Ｊ
铐	钅耂丂Ｋ
诣	讠匕日Ｙ
匡	匚王ＫＧ
岌	山及ＪＩ
旎	<旗角>尸匕Ｎ
锈	钅禾乃Ｘ
桅	木Ｗ
鸯	央鸟ＹＧ
鲲	鱼日比Ｋ
莞	艹宀元Ｇ
玮	王二<韦下>Ｗ
剌	木口刂Ｌ
茱	艹朱ＺＵ
祁	礻阝ＱＩ
奠	酋大ＤＮ
岱	代山ＤＩ
辫	<辛变>纟辛Ｂ
闵	门文ＭＮ
燎	火大小Ｌ
椒	木<卓上>又Ｊ
缇	纟日<足下>Ｔ
惴	忄山<而下>Ｚ
疮	疒人Ｃ
酌	酉勹丶Ｚ
窖	穴口Ｊ
邬	乌阝ＷＵ
呦	口幺力Ｙ
顼	王页ＸＵ
岐	山十又Ｑ
捋	扌爫寸Ｌ
飕	风叟ＳＵ
楮	木者ＣＵ
帷	巾隹ＷＩ
笃	马ＤＵ
噔	口癶<首上>Ｄ
骰	骨殳ＴＵ
鄂	吅<亏下>阝Ｅ
珏	王王丶Ｊ
汩	氵曰ＧＵ
鑫	金金金Ｘ
嘤	口贝女Ｙ
掰	八手Ｂ
峦	<变上>山ＬＮ
冢	冖豕丶Ｚ
瓮	八厶瓦Ｗ
唏	口乂巾Ｘ
蟆	虫莫ＭＡ
掣	牛刂手Ｃ
隘	阝<首上>皿Ａ
瞩	目尸冂Ｚ
茗	艹夕口Ｍ
哝	口<巾变><辰下>Ｎ
拷	扌耂丂Ｋ
蚣	虫八厶Ｇ
慵	忄广冃Ｙ
洼	氵圭ＷＡ
牟	厶牛ＭＵ
娄	米女ＬＵ
敝	丷巾攵Ｂ
孜	子攵ＺＩ
龌	止凵土Ｗ
餮	歹人食Ｔ
窦	穴十头Ｄ
烘	火八Ｈ
咣	口儿Ｇ
飒	立风ＳＡ
咎	夂卜口Ｊ
憧	忄立里Ｃ
逵	土八辶Ｋ
闽	门虫ＭＮ
啷	口丶阝Ｌ
睨	目臼儿Ｎ
铅	钅几口Ｑ
楷	木比白Ｋ
绎	纟又<举下>Ｙ
皎	白亠父Ｊ
龊	止凵足Ｃ
阉	门大日Ｙ
黠	黑吉ＸＡ
隼	隹十ＳＮ
菌	艹囗禾Ｊ
钗	钅又丶Ｃ
诶	讠厶矢Ｅ
杠	木工ＧＧ
靥	厂大罒Ｙ
饲	饣一Ｓ
蜃	厂<辰内>虫Ｓ
筛	<归左>巾Ｓ
淼	水水水Ｍ
粪	米八Ｆ
颍	匕水页Ｙ
喏	口艹口Ｎ
苔	艹厶口Ｔ
啬	十<首上>囗Ｓ
闸	门甲ＺＡ
憬	忄日小Ｊ
伢	亻一<牙下>Ｙ
酝	酉云ＹＮ
柬	木<黑上>ＪＮ
啄	口豕丶Ｚ
窑	穴缶ＹＯ
旖	<旗角>大可Ｙ
喵	口艹田Ｍ
寰	宀罒<衣下>Ｈ
羔	灬ＧＯ
膳	月羊口Ｓ
缅	纟丆罒Ｍ
垣	土一一Ｙ
筠	土勹Ｊ
乒	丘丿ＰＧ
榨	木穴乍Ｚ
笈	及ＪＩ
瞑	目冖八Ｍ
剁	几木刂Ｄ
奚	爫幺大Ｘ
兖	亠八儿Ｙ
庵	广大乚Ａ
瓒	王贝Ｚ
孺	子<雨头><而下>Ｒ
梓	木辛ＺＩ
杵	木午ＣＵ
扉	户非ＦＩ
诲	讠母Ｈ
坍	土<周框>亠Ｔ
咂	口匚巾Ｚ
噤	口林示Ｊ
峥	山亅Ｚ
纶	纟人匕Ｌ
壑	<卓上>又土Ｈ
殉	歹勹日Ｘ
辐	<车旁>畐ＦＵ
蜕	虫丷儿Ｔ
唆	口厶夂Ｓ
阖	门土厶Ｈ
谛	讠<旁上>巾Ｄ
穗	禾士心Ｓ
琶	王王巴Ｐ
螳	虫土Ｔ
盎	央皿ＡＧ
褒	亠亻<衣下>Ｂ
贲	十艹贝Ｂ
毋	毋ＷＵ乛
淬	氵亠十Ｃ
藻	<艹氵>氵木Ｚ
粟	覀米ＳＵ
袜	衤末ＷＡ
佟	亻夂<冬下>Ｔ
簸	其皮Ｂ
苇	艹二<韦下>Ｗ
醇	酉<享上>子Ｃ
枣	木冂<冬下>Ｚ
拗	扌幺力Ａ
椎	木隹ＺＩ
橡	木象ＸＧ
蹋	日羽Ｔ
遐	<右框><右框>辶Ｘ
拌	扌半ＢＮ
馋	饣<冬下>Ｃ
橘	木冂Ｊ
霭	<雨头>讠勹Ａ
啜	口又又Ｃ
撮	扌日又Ｃ
馒	饣日又Ｍ
纬	纟二<韦下>Ｗ
嬴	<赢框>女ＹＧ
潺	氵尸子Ｃ
筏	亻戈Ｆ
宦	宀匚丨Ｈ
娑	氵少女Ｓ
鹭	各鸟Ｌ
玎	王丁ＤＧ
抉	扌夬ＪＥ
匍	勹甫ＰＵ
蕃	艹丿田Ｆ
恻	忄贝刂Ｃ
乓	丘丶ＰＧ
苞	艹勹巳Ｂ
胥	乛<足下>冃Ｘ
帛	白巾ＢＯ
驮	马大ＴＯ
痪	疒大Ｈ
碾	石尸<辰下>Ｎ
陕	阝夫丷Ｓ
嬷	女广厶Ｍ
髯	镸彡土Ｒ
嫦	女巾Ｃ
耷	大耳ＤＡ
阑	门木<黑上>Ｌ
迳	<经角>工辶Ｊ
弈	亠<赤下>廾Ｙ
眦	目止匕Ｚ
侬	亻<巾变><辰下>Ｎ
娓	女尸毛Ｗ
噘	口厂欠Ｊ
炬	火匚<右框>Ｊ
沥	氵厂力Ｌ
曜	日羽隹Ｙ
禧	礻吉口Ｘ
陇	阝龙ＬＧ
咛	口宀丁Ｎ
砾	石<卬左>小Ｌ
竺	二ＺＵ
胭	月囗大Ｙ
涧	氵门日Ｊ
墩	土<享上>攵Ｄ
呲	口止匕Ｃ
篡	目厶Ｃ
昙	日云ＴＮ
蟠	虫丿田Ｐ
旌	<旗角>丿Ｊ
睦	目土土Ｍ
羹	灬大Ｇ
琵	王王比Ｐ
咀	口且ＪＵ
馅	饣臼Ｘ
讷	讠内ＮＥ
磷	石米<舛右>Ｌ
孵	<卯左>爫子Ｆ
濒	氵止页Ｂ
亘	一日一Ｇ
簧	八Ｈ
诬	讠工从Ｗ
擞	扌米攵Ｓ
魃	白<见下>犮Ｂ
瓯	匚乂瓦Ｏ
曝	日日氺Ｐ
删	册刂ＳＮ
徨	彳白王Ｈ
宓	宀心丿Ｍ
桨	丬夕木Ｊ
楣	木<声下>目Ｍ
铎	钅又<举下>Ｄ
剐	口内刂Ｇ
匐	勹畐ＦＵ
腆	月冂八Ｔ
谏	讠木<黑上>Ｊ
粼	米夕<粼右>Ｌ
阐	门丷日Ｃ
婀	女阝可Ｅ
邺	业阝ＹＥ
纨	纟九丶Ｗ
辗	<车旁>尸<辰下>Ｚ
卉	十廾ＨＩ
偃	亻匚日Ｙ
鹊	日鸟Ｑ
槛	木<半竹>皿Ｊ
荼	艹亼朩Ｔ
锭	钅宀<足下>Ｄ
瘴	疒音十Ｚ
瑙	王巛<囱框>Ｎ
皂	白七ＺＯ
踝	日木Ｈ
铳	钅<充上>儿Ｃ
锄	钅且力Ｃ
剃	丷丿刂Ｔ
吠	口大丶Ｆ
蛰	执虫ＺＥ
琰	王火火Ｙ
叟	叟ＳＵ丿
缤	纟穴丘Ｂ
颌	亼口页Ｈ
珈	王加ＪＡ
浏	氵文刂Ｌ
卤	<卓上>囗乂Ｌ
匾	匚户冊Ｂ
飚	风火火Ｂ
刨	勹巳刂Ｐ
杞	木己ＱＩ
馁	饣爫女Ｎ
瘸	疒加内Ｑ
榭	木身寸Ｘ
绛	纟夂<舛右>Ｊ
姒	女以ＳＩ
殒	歹口贝Ｙ
瓢	覀示瓜Ｐ
窈	穴幺力Ｙ
栓	木人王Ｓ
婊	女<衣下>Ｂ
譬	尸辛言Ｐ
谄	讠臼Ｃ
垠	土艮ＹＮ
壹	士冖<首上>Ｙ
呤	口今丶Ｌ
烹	<享上>乛灬Ｐ
靳	革斤ＪＮ
丕	不一ＰＩ
蕉	艹隹灬Ｑ
隅	阝甲冂Ｙ
礴	石<艹氵>寸Ｂ
嫖	女覀示Ｐ
炊	火欠ＣＩ
珞	王各ＬＯ
挲	氵少手Ｓ
蛾	虫手戈Ｅ
膺	广亻冃Ｙ
猬	犭田冃Ｗ
潞	氵各Ｌ
筐	匚王Ｋ
骜	敖马ＡＯ
俑	亻<甬下>Ｙ
鳌	敖鱼ＡＯ
稣	鱼禾ＳＵ
蒜	艹示示Ｓ
窕	穴<兆左><兆右>Ｔ
腋	月亠夂Ｙ
魑	白<见下>文Ｃ
芮	艹内ＲＩ
簪	旡日Ｚ
麴	木夂勹Ｑ
黔	黑今ＱＮ
垢	土<后上>口Ｇ
屉	尸世ＴＩ
馀	饣亼朩Ｙ
笋	<秉中>丿Ｓ
轼	<车旁>弋工Ｓ
汲	氵及ＪＩ
迥	冂口辶Ｊ
垄	龙土ＬＧ
弼	弓丆弓Ｂ
沣	氵丰ＦＧ
稼	禾宀豕Ｊ
纣	纟寸ＺＵ
郢	口王阝Ｙ
藐	艹豸儿Ｍ
寅	穴一由Ｙ
戍	戊丶ＳＵ
簿	氵寸Ｂ
拄	扌主ＺＵ
泌	氵心丿Ｍ
渲	氵宀一Ｘ
嚏	口十<足下>Ｔ
呓	口艹乙Ｙ
篆	彑<豕下>Ｚ
斓	文门木Ｌ
鲤	鱼里ＬＩ
熹	吉<首上>灬Ｘ
圭	圭ＧＩ一
锏	钅门日Ｊ
螃	虫<旁上>方Ｐ
茎	艹<经角>工Ｊ
龇	止凵匕Ｚ
丙	一内ＢＧ
皑	白山己Ａ
睚	目厂圭Ｙ
撂	扌田各Ｌ
惆	忄<周框>土Ｃ
鸥	匚乂鸟Ｏ
嚅	口<雨头><而下>Ｒ
炳	火一内Ｂ
谧	讠心皿Ｍ
篱	文冂Ｌ
跚	册ＳＮ
渤	氵十力Ｂ
螓	虫禾Ｑ
矶	石几ＪＩ
梗	木一乂Ｇ
岑	山今ＣＮ
槌	木<阜上>辶Ｃ
糗	米自大Ｑ
滤	氵虍心Ｌ
蛆	虫且ＱＵ
拴	扌人王Ｓ
晁	日<兆左><兆右>Ｃ
犷	犭广ＧＧ
潼	氵立里Ｔ
灶	火土ＺＯ
踵	千里Ｚ
坝	土贝ＢＡ
髻	镸彡吉Ｊ
嗲	口父夕Ｄ
袒	衤日一Ｔ
晔	日<化右>十Ｙ
碳	石山火Ｔ
麓	林<鹿上>比Ｌ
渝	氵亼<前下>Ｙ
涔	氵山乛Ｃ
卯	<卯左>卩ＭＯ
菡	艹乛凵Ｈ
泯	氵巳七Ｍ
撬	扌毛毛Ｑ
羚	今丶Ｌ
抠	扌匚乂Ｋ
嗬	口艹可Ｈ
馈	饣<贵上>贝Ｋ
骠	马覀示Ｂ
凋	冫<周框>土Ｄ
赂	贝各ＬＵ
噌	口丷日Ｃ
鸨	匕十鸟Ｂ
苜	艹目ＭＵ
幌	巾日儿Ｈ
褥	衤厂寸Ｒ
嘹	口大小Ｌ
袂	衤夬ＭＩ
荤	艹冖车Ｈ
囤	囗七凵Ｄ
裆	衤彐Ｄ
盅	中皿ＺＧ
醺	酉千黑Ｘ
萃	艹亠十Ｃ
赧	土<赤下>又Ｎ
婵	女丷十Ｃ
氤	气囗大Ｙ
腼	月丆罒Ｍ
梆	木<丰变>阝Ｂ
涸	氵囗古Ｈ
釜	父干<首上>Ｆ
镭	钅<雨头>田Ｌ
椭	木冃Ｔ
祠	礻一Ｃ
硫	石<充上><流角>Ｌ
晤	日五口Ｗ
隗	阝白<见下>Ｋ
痉	疒<经角>工Ｊ
笺	一戈Ｊ
饺	饣亠父Ｊ
睐	目未丷Ｌ
峒	山冂一Ｄ
涤	氵夂朩Ｄ
俸	亻<举下>Ｆ
玟	王文ＷＮ
谪	讠<商外>古Ｚ
渥	氵尸至Ｗ
劾	亥力ＨＥ
氲	气日皿Ｙ
挛	<变上>手ＬＮ
蹒	艹两Ｐ
霈	<雨头>氵巾Ｐ
舫	舟方ＦＧ
鳅	鱼禾火Ｑ
苋	艹见ＸＮ
琬	王宀Ｗ
怏	忄央ＹＧ
嗫	口耳又Ｎ
瞰	目乛攵Ｋ
蚌	虫丰ＢＧ
溯	氵<首上>月Ｓ
沓	水日ＴＡ
翌	羽立ＹＩ
蜻	虫月Ｑ
甭	不用ＢＧ
唷	口<充上>冃Ｙ
藕	艹耒冂Ｏ
疵	疒止匕Ｃ
啾	口禾火Ｊ
绔	纟大<亏下>Ｋ
毓	母<流角>Ｙ
桉	木宀女Ａ
癖	疒尸辛Ｐ
蝼	虫米女Ｌ
韶	音刀口Ｓ
霁	<雨头>文<齐下>Ｊ
蔬	艹止<流角>Ｓ
跤	亠父Ｊ
甥	丿力Ｓ
颐	匚丨页Ｙ
怂	从心ＳＧ
炕	火亠几Ｋ
咿	口<秉中>丿Ｙ
咤	口宀七Ｚ
毡	毛占ＺＮ
桔	木吉ＪＥ
鳖	丷攵鱼Ｂ
弋	弋ＹＩ一
撰	扌巳八Ｚ
晾	日<享上>小Ｌ
泞	氵宀丁Ｎ
嗝	口一冂Ｇ
霾	<雨头>豸里Ｍ
蟑	虫音十Ｚ
臌	月十又Ｇ
掬	扌勹米Ｊ
绾	纟宀<官下>Ｗ
獒	敖大丶Ａ
璞	王业丶Ｐ
臊	月口木Ｓ
臾	臼人ＹＵ
恸	忄云力Ｔ
贮	贝宀一Ｚ
阂	门亥ＨＥ
岖	山匚乂Ｑ
翟	羽隹ＤＩ
咨	冫欠口Ｚ
堑	<车旁>斤土Ｑ
倡	亻日日Ｃ
忏	忄千ＣＮ
妤	女<予下>Ｙ
啵	口氵皮Ｂ
殛	歹乛一Ｊ
瞌	目土皿Ｋ
哐	口匚王Ｋ
圃	囗甫ＰＵ
蛹	虫<甬下>Ｙ
俭	亻亼<应下>Ｊ
灸	丶火Ｊ
剽	覀示刂Ｐ
